date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:52	95377/95377	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2018:19:08%20GMT	https://validthemes.live/themeforest/ambrox/home-dark.html	E:/template/cv%20temp/validthemes.live/themeforest/ambrox/home-dark.html	(from )
17:39:53	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20May%202023%2014:39:53%20GMT	https://validthemes.live/robots.txt		(from )
17:39:53	1964/1964	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Nov%202022%2016:31:24%20GMT	https://validthemes.live/themeforest/ambrox/assets/img/favicon.png	E:/template/cv%20temp/validthemes.live/themeforest/ambrox/assets/img/favicon.png	(from https://validthemes.live/themeforest/ambrox/home-dark.html)
17:39:54	163873/163873	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Jan%202022%2015:03:42%20GMT	https://validthemes.live/themeforest/ambrox/assets/css/bootstrap.min.css	E:/template/cv%20temp/validthemes.live/themeforest/ambrox/assets/css/bootstrap.min.css	(from https://validthemes.live/themeforest/ambrox/home-dark.html)
17:39:54	16450/16450	---M-Z	200	added ('OK')	text/css	date:Fri,%2009%20Feb%202018%2013:07:34%20GMT	https://validthemes.live/themeforest/ambrox/assets/css/themify-icons.css	E:/template/cv%20temp/validthemes.live/themeforest/ambrox/assets/css/themify-icons.css	(from https://validthemes.live/themeforest/ambrox/home-dark.html)
17:39:54	174244/174244	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jan%202022%2013:03:10%20GMT	https://validthemes.live/themeforest/ambrox/assets/css/font-awesome.min.css	E:/template/cv%20temp/validthemes.live/themeforest/ambrox/assets/css/font-awesome.min.css	(from https://validthemes.live/themeforest/ambrox/home-dark.html)
17:39:54	26593/26593	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Feb%202021%2014:11:52%20GMT	https://validthemes.live/themeforest/ambrox/assets/css/elegant-icons.css	E:/template/cv%20temp/validthemes.live/themeforest/ambrox/assets/css/elegant-icons.css	(from https://validthemes.live/themeforest/ambrox/home-dark.html)
17:39:55	8514/8514	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202022%2015:59:06%20GMT	https://validthemes.live/themeforest/ambrox/assets/css/flaticon-set.css	E:/template/cv%20temp/validthemes.live/themeforest/ambrox/assets/css/flaticon-set.css	(from https://validthemes.live/themeforest/ambrox/home-dark.html)
17:39:55	6951/6951	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Aug%202018%2009:45:16%20GMT	https://validthemes.live/themeforest/ambrox/assets/css/magnific-popup.css	E:/template/cv%20temp/validthemes.live/themeforest/ambrox/assets/css/magnific-popup.css	(from https://validthemes.live/themeforest/ambrox/home-dark.html)
17:39:55	15820/15820	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Feb%202022%2008:00:42%20GMT	https://validthemes.live/themeforest/ambrox/assets/css/swiper-bundle.min.css	E:/template/cv%20temp/validthemes.live/themeforest/ambrox/assets/css/swiper-bundle.min.css	(from https://validthemes.live/themeforest/ambrox/home-dark.html)
